OrderID,CustomerID,ProductCategory,ProductName,Quantity,UnitPrice,OrderDate,Region
1,2824,Electronics,Headphones,4,115.49,2020-07-28,North
2,7912,Electronics,Smartphone,2,113.23,2022-10-31,North
3,4257,Toys,Puzzle,8,296.69,2020-01-14,South
4,7924,Books,Textbook,3,111.58,2021-11-20,North
5,2519,Toys,Action Figure,6,424.51,2023-05-21,East
6,1711,Grocery,Bread,2,486.69,2022-02-14,North
7,5803,Books,Magazine,4,353.76,2020-04-03,South
8,5741,Clothing,Jeans,2,193.16,2022-07-17,East
9,3664,Books,Textbook,4,336.74,2023-12-08,North
10,3803,Beauty,Foundation,8,192.83,2023-08-03,South
11,6313,Electronics,Laptop,1,403.5,2022-04-01,East
12,2084,Beauty,Shampoo,6,110.25,2022-10-19,West
13,8517,Home,Curtains,3,127.08,2023-02-23,East
14,8019,Toys,Board Game,4,498.68,2020-10-10,West
15,2489,Electronics,Smartphone,3,315.59,2023-10-25,West
16,2040,Toys,Doll,10,498.08,2022-12-19,East
17,1188,Clothing,Sweater,5,385.46,2021-11-27,North
18,5808,Toys,Puzzle,8,6.61,2021-06-23,South
19,9317,Clothing,Jacket,9,306.44,2020-11-09,East
20,3646,Electronics,Camera,6,246.86,2020-08-17,East
21,6038,Beauty,Lipstick,4,439.61,2020-06-10,North
22,8962,Clothing,Sweater,3,68.55,2022-08-31,South
23,5342,Toys,Puzzle,9,378.86,2023-11-13,South
24,6107,Toys,Board Game,8,450.31,2022-07-13,North
25,5061,Beauty,Lipstick,6,15.41,2023-02-08,South
26,4608,Electronics,Smartphone,1,118.33,2020-03-05,East
27,2160,Beauty,Perfume,8,111.05,2020-09-27,West
28,4981,Grocery,Eggs,4,51.69,2023-09-11,West
29,6804,Toys,Doll,8,432.6,2020-04-20,North
30,1993,Toys,Board Game,2,128.08,2021-01-24,West
31,3296,Toys,Puzzle,5,234.0,2020-06-03,West
32,2604,Electronics,Camera,1,484.65,2021-04-29,South
33,7658,Grocery,Eggs,4,433.0,2020-04-30,South
34,7209,Electronics,Smartwatch,5,463.63,2022-07-20,East
35,7930,Grocery,Pasta,4,151.87,2020-04-29,North
36,6138,Electronics,Smartphone,10,241.01,2022-12-23,South
37,1931,Clothing,Jeans,2,299.54,2023-10-14,South
38,7615,Clothing,Sweater,4,291.56,2020-03-22,North
39,7868,Books,Textbook,4,336.51,2021-10-05,South
40,5351,Toys,Puzzle,5,231.33,2020-05-28,North
41,8508,Clothing,T-Shirt,9,110.51,2021-06-27,South
42,6718,Clothing,Jeans,6,146.07,2022-06-16,East
43,9666,Electronics,Camera,5,466.22,2020-07-31,South
44,5333,Clothing,T-Shirt,9,81.95,2021-07-31,South
45,6617,Beauty,Perfume,9,246.82,2020-04-14,North
46,7939,Sports,Football,1,170.11,2020-09-24,East
47,3647,Grocery,Bread,7,282.65,2020-08-17,North
48,3442,Electronics,Headphones,10,278.5,2022-05-30,South
49,1685,Sports,Yoga Mat,1,449.97,2021-03-06,South
50,2684,Books,Magazine,7,487.05,2020-11-12,South
51,3662,Home,Table,1,93.78,2021-11-11,West
52,5065,Sports,Tennis Racket,2,194.36,2020-03-20,West
53,4644,Beauty,Moisturizer,6,156.07,2021-04-11,South
54,1387,Beauty,Moisturizer,6,142.91,2020-05-22,East
55,6753,Toys,Lego Set,6,469.92,2020-08-24,East
56,3925,Sports,Football,2,300.3,2021-12-08,East
57,8149,Clothing,Dress,10,99.09,2020-03-31,West
58,1027,Beauty,Perfume,7,39.64,2023-09-22,East
59,6143,Clothing,Jacket,9,158.1,2022-04-16,East
60,7592,Sports,Bicycle,3,99.96,2023-09-23,West
61,3851,Sports,Dumbbells,9,417.69,2021-09-14,East
62,4443,Toys,Lego Set,10,329.08,2022-08-10,West
63,8244,Beauty,Shampoo,8,397.9,2020-12-13,North
64,5649,Books,Novel,4,338.03,2021-04-05,South
65,3414,Electronics,Smartphone,4,492.05,2023-06-05,North
66,8461,Toys,Lego Set,4,360.58,2022-02-25,West
67,7547,Beauty,Foundation,1,446.87,2020-08-06,West
68,4585,Home,Chair,8,29.86,2021-05-25,North
69,8478,Home,Table,9,494.01,2023-05-04,East
70,8251,Toys,Lego Set,8,449.12,2022-08-30,West
71,5246,Beauty,Perfume,9,244.88,2021-05-04,East
72,8206,Clothing,Jacket,4,139.5,2021-10-16,North
73,3267,Home,Lamp,7,348.51,2023-12-17,South
74,2052,Toys,Doll,6,273.59,2022-05-01,North
75,4388,Toys,Doll,10,473.3,2020-02-10,West
76,8814,Electronics,Headphones,5,377.97,2022-05-08,South
77,8999,Beauty,Perfume,7,245.39,2022-03-07,East
78,7624,Home,Table,3,490.46,2022-12-29,North
79,7455,Electronics,Smartphone,7,72.17,2022-08-03,South
80,1823,Sports,Dumbbells,6,109.77,2021-10-31,East
81,7211,Sports,Dumbbells,5,418.28,2022-08-21,North
82,9837,Electronics,Headphones,4,326.82,2023-08-27,North
83,1508,Beauty,Foundation,1,312.56,2021-05-03,South
84,8758,Clothing,Sweater,4,235.19,2021-06-08,East
85,3749,Clothing,Jeans,5,58.51,2020-02-22,East
86,7149,Toys,Puzzle,2,298.09,2023-07-08,South
87,2669,Sports,Bicycle,2,399.13,2023-03-05,North
88,6688,Toys,Board Game,2,255.45,2021-11-29,North
89,7882,Grocery,Rice,7,480.59,2023-07-25,West
90,3506,Toys,Puzzle,9,482.91,2021-07-07,West
91,8616,Toys,Lego Set,5,164.54,2021-05-17,North
92,5569,Grocery,Pasta,8,287.08,2023-09-30,West
